station,year,press,tempC
Toulouse,2010,1014.9881363339856,13.015187540769755
Toulouse,2011,1019.0079810828441,14.792045009784758
Toulouse,2012,1018.4916081186573,13.964773614363802
Toulouse,2013,1017.3234491193738,13.36501467710374
Toulouse,2014,1016.2418346379648,14.65443248532292
Toulouse,2015,1020.3407333115895,14.574327027614721
Nice,2010,1012.0674804305283,15.437177103718222
Nice,2011,1016.9126435094586,16.651937703848684
Nice,2012,1015.0648955893832,16.29098848555818
Nice,2013,1013.7098679060665,15.843194716242683
Nice,2014,1013.9047994129158,16.69864970645795
Nice,2015,1017.0460692541857,16.79893455098937
Nancy,2010,NA,9.124088062622333
Nancy,2011,NA,10.911262883235509
Nancy,2012,NA,10.207777014652036
Nancy,2013,NA,9.610720482713656
Nancy,2014,NA,11.342480430528399
Nancy,2015,NA,11.123809632827513
Brest,2010,1014.8436888454012,10.531942270058732
Brest,2011,1017.9092318982388,12.06548923679063
Brest,2012,1016.9835050741608,11.317972612542308
Brest,2013,1016.3712067840835,11.273732876712351
Brest,2014,1013.9685283757339,12.264144814090042
Brest,2015,1019.0896406827571,11.961604696673213
